Nombre_de_Curso,Seccion,Modalidad,Edificio,Salon,Inicio,Final,Dias,Catedratico,Auxiliar,Detalle
0968 INTELIGENCIA ARTIFICIAL 2,,VIRTUAL,ET,CERRADO,10:40,12:20,LU,STAFF,,Sin restricciones
5010 SEGURIDAD EN LAS OBRAS DE CONSTRUCCION,,VIRTUAL,MEET,VIRTUAL,18:10,20:40,MI,ANDRES MANUEL REMIS SALGUERO,,Sin restricciones
5011 FUNDAMENTOS JURIDICOS CONSTITUCIONALES BASICOS DEL DERECHO LABORAL Y NORMAS LABORALES,,VIRTUAL,MEET,VIRTUAL,18:10,20:40,JU,CARLOS MATIAS CASTELLANOS ARGUIJO,,Sin restricciones
0250 MECANICA DE FLUIDOS,01,PRESENCIAL,T-5,LFLUIDOS,10:40,11:30,MA,LUIS EDUARDO PORTILLO ESPAÑA,,Sin restricciones
0250 MECANICA DE FLUIDOS,02,PRESENCIAL,T-5,LFLUIDOS,11:30,12:20,MA,LUIS EDUARDO PORTILLO ESPAÑA,,Sin restricciones
0250 MECANICA DE FLUIDOS,03,PRESENCIAL,T-5,LFLUIDOS,13:10,14:00,MA,LUIS EDUARDO PORTILLO ESPAÑA,,Sin restricciones
0250 MECANICA DE FLUIDOS,04,PRESENCIAL,T-5,LFLUIDOS,14:00,14:50,MA,LUIS EDUARDO PORTILLO ESPAÑA,,Sin restricciones
0250 MECANICA DE FLUIDOS,05,PRESENCIAL,T-5,LFLUIDOS,14:50,15:40,MA,LUIS EDUARDO PORTILLO ESPAÑA,,Sin restricciones
0250 MECANICA DE FLUIDOS,06,PRESENCIAL,T-5,LFLUIDOS,15:40,16:30,LU,LUIS MANUEL SANDOVAL MENDOZA,,Sin restricciones
0250 MECANICA DE FLUIDOS,07,PRESENCIAL,T-5,LFLUIDOS,17:20,18:10,MA,LUIS MANUEL SANDOVAL MENDOZA,,Sin restricciones
0250 MECANICA DE FLUIDOS,08,PRESENCIAL,T-5,LFLUIDOS,18:10,19:00,MA,LUIS MANUEL SANDOVAL MENDOZA,,Sin restricciones
0250 MECANICA DE FLUIDOS,09,PRESENCIAL,T-5,LFLUIDOS,19:00,19:50,MA,LUIS MANUEL SANDOVAL MENDOZA,,Sin restricciones
0252 HIDRAULICA,_1,PRESENCIAL,T-5,LAB-HIDR,15:40,17:20,MA,LUIS EDUARDO PORTILLO ESPAÑA,,Sin restricciones
0458 MECANICA DE SUELOS 1,_1,PRESENCIAL,T-5,CII,14:00,15:40,MA,OMAR ENRIQUE MEDRANO MENDEZ,,Sin restricciones
0300 RESISTENCIA DE MATERIALES 1,1,PRESENCIAL,T-5,CII,12:20,14:00,MA,DARIO FRANCISCO LUCAS MAZARIEGOS,,Sin restricciones
0302 RESISTENCIA DE MATERIALES 2,1,PRESENCIAL,T-5,CII,13:10,14:00,MA,OMAR ENRIQUE MEDRANO MENDEZ,,Sin restricciones
0453 MATERIALES DE CONSTRUCCION 1,1,PRESENCIAL,T-5,CII,14:50,16:30,LU,DILMA YANET MEJICANOS JOL,,Sin restricciones
0080 TOPOGRAFIA 1,1,PRESENCIAL,S-11,104-DIB,07:10,09:40,MA,MARIO ESTUARDO ARRIOLA AVILA,,Sin restricciones
0082 TOPOGRAFIA 2,1,PRESENCIAL,S-11,104-DIB,07:10,09:40,JU,MARIO ESTUARDO ARRIOLA AVILA,,Sin restricciones
0084 TOPOGRAFIA 3,1,PRESENCIAL,T-3,211,11:20,13:00,SA,NICOLAS DE JESUS GUZMAN SAENZ,,Sin restricciones
0550 VIAS TERRESTRES 1,1+,PRESENCIAL,T-3,212,07:10,10:30,SA,ALEJANDRO CASTAÑON LOPEZ,,Ver Restricciones
0550 VIAS TERRESTRES 1,1-,PRESENCIAL,T-3,213,07:10,10:30,SA,CARLOS ENRIQUE PINTO ALONZO,,Ver Restricciones
0250 MECANICA DE FLUIDOS,10,PRESENCIAL,T-5,LFLUIDOS,11:30,12:20,JU,LUIS EDUARDO PORTILLO ESPAÑA,,Sin restricciones
0300 RESISTENCIA DE MATERIALES 1,10,PRESENCIAL,T-5,CII,12:20,14:00,MA,DARIO FRANCISCO LUCAS MAZARIEGOS,,Sin restricciones
0250 MECANICA DE FLUIDOS,11,PRESENCIAL,T-5,LFLUIDOS,13:10,14:00,JU,LUIS EDUARDO PORTILLO ESPAÑA,,Sin restricciones
0300 RESISTENCIA DE MATERIALES 1,11,PRESENCIAL,T-5,CII,15:40,17:20,MA,LUIS MARIANO ALVAREZ MURALLES,,Sin restricciones
0250 MECANICA DE FLUIDOS,12,PRESENCIAL,T-5,LFLUIDOS,14:00,14:50,JU,LUIS EDUARDO PORTILLO ESPAÑA,,Sin restricciones
0300 RESISTENCIA DE MATERIALES 1,12,PRESENCIAL,T-5,CII,17:20,19:00,MA,LUIS MARIANO ALVAREZ MURALLES,,Sin restricciones
0250 MECANICA DE FLUIDOS,13,PRESENCIAL,T-5,LFLUIDOS,17:20,18:10,JU,LUIS MANUEL SANDOVAL MENDOZA,,Sin restricciones
0300 RESISTENCIA DE MATERIALES 1,13,PRESENCIAL,T-5,CII,17:20,19:00,MI,LUIS MARIANO ALVAREZ MURALLES,,Sin restricciones
0300 RESISTENCIA DE MATERIALES 1,14,PRESENCIAL,T-5,CII,15:40,17:20,JU,LUIS MARIANO ALVAREZ MURALLES,,Sin restricciones
0300 RESISTENCIA DE MATERIALES 1,15,PRESENCIAL,T-5,CII,17:20,19:00,JU,LUIS MARIANO ALVAREZ MURALLES,,Sin restricciones
